threads,dataset,kernel,N,d,k,B,mean_ms,min_ms,qps,recall
1,gist1m,cpu,1000000,960,10,100,35016.85,34953.12,2.9,0.3560
2,gist1m,cpu,1000000,960,10,100,18318.64,18243.30,5.5,0.3560
4,gist1m,cpu,1000000,960,10,100,10730.25,10230.87,9.3,0.3560
8,gist1m,cpu,1000000,960,10,100,7601.78,7147.51,13.2,0.3560
16,gist1m,cpu,1000000,960,10,100,7100.30,6769.68,14.1,0.3560
