dataset,kernel,N,d,k,B,mean_ms,min_ms,qps,recall
gist1m,cpu,1000000,960,10,100,7506.83,7172.51,13.3,0.3560
gist1m,naive,1000000,960,10,100,8926.40,8711.55,11.2,0.3560
gist1m,tiled,1000000,960,10,100,1541.55,1531.40,64.9,0.3560
