threads,dataset,kernel,N,d,k,B,mean_ms,min_ms,qps,recall
1,sift1m,cpu,1000000,128,10,100,4964.21,4922.46,20.1,0.9890
2,sift1m,cpu,1000000,128,10,100,4295.84,4278.90,23.3,0.9890
4,sift1m,cpu,1000000,128,10,100,4311.54,4303.24,23.2,0.9890
8,sift1m,cpu,1000000,128,10,100,4401.04,4375.97,22.7,0.9890
16,sift1m,cpu,1000000,128,10,100,4626.59,4590.43,21.6,0.9890
