dataset,kernel,N,d,k,B,mean_ms,min_ms,qps,recall
sift1m,int8_tiled,1000000,128,10,100,699.27,698.27,143.0,0.9630
gist1m,int8_tiled,1000000,960,10,100,1031.73,1031.20,96.9,0.3540
