dataset,kernel,ranks,N,d,k,B,mean_ms,min_ms,bcast_ms,local_ms,gather_ms,merge_ms,setup_ms,qps,recall
gist1m,tiled_topk,1,1000000,960,10,100,642.82,576.44,0.00,642.71,0.02,0.01,890.82,155.6,0.3560
gist1m,tiled_topk,2,1000000,960,10,100,462.74,457.42,0.19,462.38,0.06,0.04,3585.85,216.1,0.3560
gist1m,tiled_topk,4,1000000,960,10,100,164.27,152.80,0.34,163.72,0.08,0.07,3569.89,608.7,0.3560
