dataset,kernel,ranks,N,d,k,B,mean_ms,min_ms,bcast_ms,local_ms,gather_ms,merge_ms,setup_ms,qps,recall
sift1m,int8_tiled,1,1000000,128,10,100,693.75,692.29,0.00,693.63,0.08,0.01,1205.67,144.1,0.9630
sift1m,int8_tiled,2,1000000,128,10,100,415.08,414.33,0.06,414.87,0.64,0.04,1123.68,240.9,0.9630
sift1m,int8_tiled,4,1000000,128,10,100,222.12,221.23,0.07,221.89,9.59,0.07,954.15,450.2,0.9630
