dataset,kernel,ranks,N,d,k,B,mean_ms,min_ms,bcast_ms,local_ms,gather_ms,merge_ms,setup_ms,qps,recall
gist1m,tiled,1,1000000,960,10,100,1482.38,1445.33,0.00,1482.20,0.03,0.01,911.95,67.5,0.3560
gist1m,tiled,2,1000000,960,10,100,889.88,885.75,0.16,889.53,66.83,0.04,3663.17,112.4,0.3560
gist1m,tiled,4,1000000,960,10,100,385.77,381.47,0.31,385.22,77.96,0.07,3627.21,259.2,0.3560
