dataset,kernel,ranks,N,d,k,B,mean_ms,min_ms,bcast_ms,local_ms,gather_ms,merge_ms,setup_ms,qps,recall
sift1m,tiled_topk,1,1000000,128,10,100,107.87,95.33,0.00,107.82,0.02,0.01,184.95,927.0,0.9890
sift1m,tiled_topk,2,1000000,128,10,100,73.40,72.03,0.05,73.23,0.06,0.04,606.87,1362.5,0.9890
sift1m,tiled_topk,4,1000000,128,10,100,30.81,29.80,0.07,30.58,0.07,0.07,691.74,3245.7,0.9890
