dataset,kernel,ranks,N,d,k,B,mean_ms,min_ms,bcast_ms,local_ms,gather_ms,merge_ms,setup_ms,qps,recall
sift1m,tiled,1,1000000,128,10,100,743.16,737.88,0.00,743.08,0.04,0.01,195.53,134.6,0.9900
sift1m,tiled,2,1000000,128,10,100,472.50,472.04,0.05,472.29,0.08,0.04,621.01,211.6,0.9890
sift1m,tiled,4,1000000,128,10,100,245.63,245.45,0.07,245.40,15.63,0.07,767.07,407.1,0.9890
