dataset,kernel,ranks,N,d,k,B,mean_ms,min_ms,bcast_ms,local_ms,gather_ms,merge_ms,setup_ms,qps,recall
sift1m,tiled,1,250000,128,10,100,227.55,225.80,0.00,227.49,0.03,0.01,122.57,439.5,0.0000
sift1m,tiled,2,500000,128,10,100,266.82,266.05,0.04,266.64,15.91,0.04,556.89,374.8,0.0000
sift1m,tiled,4,1000000,128,10,100,245.78,245.61,0.07,245.54,15.80,0.07,717.58,406.9,0.9890
